name,url,comment
"24Hour Fitness","https://www.24hourfitness.com/membership/inclub_privacy_policy.html","(bottom)"
"Activision","https://support.activision.com/privacy",""
"Acxiom","https://www.acxiom.com/caconsumer/",""
"AdColony","https://www.adcolony.com/privacy-policy/","(bottom)"
"Advantage Solutions","https://privacyportal-cdn.onetrust.com/dsarwebform/d6cba5fa-4e44-47b7-8e91-8f217ac30350/c81e9b88-7ed7-41cf-b6bc-7d2c781f93b9.html",""
"AEG Worldwide","https://www.aegworldwide.com/privacy-policy#additional-rights-disclosures-ca",""
"Aeropostale","https://www.aeropostale.com/ccpa_request/",""
"Aerserv","https://www.aerserv.com/privacy-policy/","(^F California)"
"Airbnb","https://www.airbnb.com/terms/privacy_policy","(7.4 California Privacy Rights.)"
"Alaska Airlines","https://privacyportal-cdn.onetrust.com/dsarwebform/7a066a1e-5ec0-4f03-ba72-9ee06ba6e1d3/2d92e0a3-b352-421c-9481-1ea9f187fc27.html",""
"Albertsons","https://privacyportal-cdn.onetrust.com/dsarwebform/ea30fd57-7c9b-4aa0-b3c2-5ff790e3550f/9f10c78c-dad2-48a7-914b-79040240d917.html?state=CA",""
"Ally Financial","https://www.ally.com/resources/pdf/corporate/CCPADisclosureforCAResidents_Final.pdf",""
"Amazon","https://www.amazon.com/gp/help/customer/display.html?nodeId=GC5HB5DVMU5Y8CJ2",""
"AMC Theatres","https://www.amctheatres.com/full-privacy-policy","(Your rights under California law)"
"AMD","https://www.amd.com/en/corporate/privacy#faq-Your-California-Privacy-Notice-and-Rights",""
"American Airlines","https://www.aa.com/i18n/customer-service/support/privacy-policy.jsp","(bottom)"
"American Express","https://iforms.americanexpress.com/iFormsSecure/un/iforms.do?cuid=ccpa_en_US&evtsrc=link&evttype=0",""
"Amtrak","https://www.amtrak.com/planning-booking/policies/privacy-policy.html","(Your California Privacy Rights)"
"Anonyome Labs","https://anonyome.com/privacy-policy/","(Your Choices Regarding Your Information)"
"Anthem","https://www.anthem.com/docs/public/inline/caprivacynotice20.pdf",""
"Aol","https://aol.mydashboard.oath.com/lite",""
"Apple","https://www.apple.com/legal/privacy/california/",""
"AT&T","https://about.att.com/csr/home/privacy/StateLawApproach/ccpa.html",""
"Atom Tickets","https://www.atomtickets.com/legal/atom-privacy-portal",""
"Automattic (Wordpress)","https://automattic.com/privacy/","(California Consumer Privacy Act (CCPA)"
"Avis/Budget","https://privacyportal-cdn.onetrust.com/dsarwebform/3049dc52-d1d0-4f29-98a6-716dc298f06f/db26e683-0e64-4e8a-93fa-943ab693d0f2.html",""
"AXS","https://www.axs.com/about-privacy-policy_US_v5.html","(Additional Rights and Disclosures: California)"
"Bank of America","https://www.bankofamerica.com/security-center/ccpa-disclosure/",""
"Baskin Robbins","https://www.baskinrobbins.com/en/consumer-rights",""
"Bath & Body Works","https://www.bathandbodyworks.com/customer-care/california-privacy-rights.html",""
"Bayer","https://www.bayer.us/en/data-privacy-office-contact-form/",""
"Best Buy","https://www.bestbuy.com/site/privacy-policy/california-privacy-rights/pcmcat204400050063.c",""
"Bevmo","https://www.bevmo.com/privacy-policy/ccpa-submission",""
"Blizzard","https://www.blizzard.com/en-us/legal/a97631bf-2b21-4755-a740-5934bd5cb632/do-not-sell-my-personal-information",""
"Bloomingdales","https://www.customerservice-bloomingdales.com/app/answers/detail/a_id/357/~/bloomingdales-and-bloomingdales.com-notice-of-privacy-practices#CaliforniaResidents",""
"Blue Apron","https://www.blueapron.com/pages/privacy#ccpa",""
"Booking.com","https://www.booking.com/content/ccpa.html",""
"Booster Fuels","https://www.trybooster.com/privacy-policy","(Privacy Information For California Residents)"
"Brinker International","https://www.brinker.com/privacypolicy.asp","(CCPA Privacy Note For California Residents)"
"Carta","https://carta.com/privacy/","(Notice for California Residents)"
"Cash App","https://cash.app/legal/us/en-us/privacy#rights",""
"Cedars-Sinai","https://www.cedars-sinai.org/privacy-policy.html",""
"Chase","https://www.chase.com/digital/resources/privacy-security/privacy/ca-consumer-privacy-act/ccpa-request",""
"Chipotle","https://www.chipotle.com/donotsell",""
"Cisco","https://www.cisco.com/c/en/us/about/legal/privacy-full.html","(bottom)"
"Coinbase","https://www.coinbase.com/legal/privacy","(California Privacy Rights)"
"Corteva","https://www.corteva.com/forms/privacy-request.html",""
"Costco","https://www.costco.com/DNSMIView",""
"Cox Communications","https://www.cox.com/aboutus/policies/ccpa.html",""
"CreditKarma","https://www.creditkarma.com/about/privacy-ca-20200101",""
"Cricket","https://www.cricketwireless.com/privacy",""
"CVS","https://www.cvs.com/extracare/ccpa",""
"Dell","https://www.dell.com/learn/us/en/uscorp1/policies-privacy#ycpr",""
"Delta","https://www.delta.com/us/en/legal/privacy-and-security",""
"Delta Dental","https://www.deltadentalins.com/about/legal/financial-privacy-ca.pdf",""
"Deluxe","https://www.deluxe.com/policy/privacy-california",""
"Digital Advertising Alliance","https://optout.aboutads.info/?c=2&lang=EN",""
"DigitalOcean","https://www.digitalocean.com/legal/ccpa-privacy-notice/",""
"Discord","https://discordapp.com/privacy","(Your California privacy rights)"
"Discover","https://www.discover.com/privacy-statement/california-request.html",""
"Disney","https://privacy.thewaltdisneycompany.com/en/dnsmi/",""
"Domino's Pizza","https://www.dominos.com/en/pages/customer/#!/ccpa/",""
"DoorDash","https://help.doordash.com/consumers/s/privacy-policy-us?language=en_US","(11. California Residents)"
"Drop","https://www.earnwithdrop.com/privacy#california",""
"Dunkin","https://www.dunkindonuts.com/en/consumer-rights",""
"Earny","https://support.earny.co/hc/en-us/articles/218609757-Privacy-Policy","(Your California privacy rights)"
"Electronic Arts","https://tos.ea.com/legalapp/WEBPRIVACYCA/US/en/PC/",""
"Elsevier","https://www.elsevier.com/legal/california-privacy-notice",""
"Empower Retirement","https://www.empower-retirement.com/privacy/privacy-policy-ca/",""
"Enterprise","https://enterpriseprivacy.ethicspointvp.com/custom/enterpriseprivacy/forms/privacy/form_data.asp?lang=en",""
"Equifax","https://myprivacy.equifax.com/personal-info",""
"Equinox","https://www.equinox.com/privacyrequest",""
"ETrade","https://us.etrade.com/l/f/privacy-statement/ccpa",""
"Eventbrite","https://www.eventbrite.com/support/articles/en_US/Troubleshooting/supplemental-privacy-notice-for-california-residents",""
"Experian","https://www.experian.com/privacy/ccpa-privacy-policy.html",""
"Facebook","https://www.facebook.com/help/contact/784491318687824",""
"Fandango","https://www.fandango.com/donotsellmyinfo",""
"Fidelity","https://communications.fidelity.com/consumer-privacy/california/",""
"Fitbit","https://www.fitbit.com/legal/privacy-policy#california-privacy-disclosures",""
"Ford","https://www.ford.com/help/privacy/ccpa",""
"Foursquare","https://foursquare.com/data-requests",""
"Fox News","https://www.foxnews.com/donotsell",""
"Frontier Airlines","https://privacyportal-cdn.onetrust.com/dsarwebform/d05efb49-8659-41c8-a149-06569bb9429f/b1553c03-92ee-47cc-a026-4b191092dcf2.html",""
"G/O Media","https://g-omedia.com/privacy-policy/","(i.e., Gizmodo, etc..)"
"GasBuddy","https://help.gasbuddy.com/hc/en-us/requests/new?ticket_form_id=360002353354",""
"General Motors","https://www.gm.com/consumer-privacy.html",""
"Getaround","https://www.getaround.com/terms/privacy","(Privacy Rights for Members who are California Residents)"
"Gilead","https://www.gilead.com/privacy-statements","(pdf form to email)."
"Google","https://policies.google.com/privacy?fg=1#enforcement","(California requirements)"
"GrubHub","https://www.grubhub.com/help/privacy/opt-out",""
"Henkel","https://henkelprivacy.exterro.net/portal/dsar.htm?target=henkelprivacy","(Dial, Loctite, Purex, Schwarzkopf...)"
"Hertz","https://pub.emails.hertz.com/californiaprivacyrights",""
"Home Depot","https://www.homedepot.com/c/Exercise_My_Privacy_Rights",""
"Hotels.com","https://www.hotels.com/profile/dnsmpi-consent/consent.html",""
"Hotwire","https://www.hotwire.com/hwdnsmpi",""
"HSA Bank","http://www.hsabank.com/hsabank/about-us/privacy-and-opt-out-notice","(For California Residents)"
"Huffington Post","https://huffingtonpost.mydashboard.oath.com/",""
"Hulu","https://www.hulu.com/do-not-sell-my-info",""
"Hyatt","https://privacyportal-cdn.onetrust.com/dsarwebform/9c6a75e1-7924-4576-b3ba-d5ec88c9ad5e/99cb394e-9038-4c9a-81e4-285f5688f5e8.html",""
"Hyundai","https://owners.hyundaiusa.com/us/en/privacy/data-request.html",""
"IFTTT","https://ifttt.com/terms","(Your California Privacy Rights)"
"Instagram","https://help.instagram.com/2482657248648591",""
"Intel","https://www.intel.com/content/www/us/en/privacy/privacy-ccpa-california.html",""
"Intuit","https://www.intuit.com/privacy/statement/","Your information rights and choices"
"ironSource","https://developers.ironsrc.com/ironsource-mobile/air/ironsource-mobile-privacy-policy/","(^F The CCPA Angle)"
"Jet","https://jet.com/privacy-notice",""
"Johnson & Johnson","https://privacyportal-cdn.onetrust.com/dsarwebform/96f23ee1-34e3-41d6-8d5a-07f0d554152b/e10a8ea9-63dd-4d22-b709-06a9b97de6b4.html?WebsiteName=jnj.com",""
"Jun Group","https://www.jungroup.com/ccpa",""
"Kaiser Permanente","https://healthy.kaiserpermanente.org/privacy","(bottom)"
"Kayak","https://www.kayak.com/privacy/manage","(bottom)"
"Kohl's","https://www.kohls.com/CAPrivacyCenter",""
"LA Fitness","https://privacyrights.fitnessintl.com/",""
"LexisNexis Risk Solutions","https://risk.lexisnexis.com/ccpa",""
"LexisNexis","https://www.lexisnexis.com/en-us/terms/CCPA-notice.page",""
"LG","https://www.lg.com/us/privacy",""
"LinkedIn","https://www.linkedin.com/legal/california-privacy-disclosure",""
"LiveNation","https://privacyportal-cdn.onetrust.com/dsarwebform/ba6f9c5b-dda5-43bd-bac4-4e06afccd928/b3c0feda-599b-43d9-ae70-2e33b14b3b6b.html",""
"LoseIt","https://loseit.com/privacy/","(^F California)"
"Lowe's Home Improvement","https://www.lowes.com/privacyrequest",""
"Lyft","https://www.lyft.com/privacy",""
